,tr_empty,tr_not_empty,tr_total,val_empty,val_not_empty,val_total
0,0.9999999970603152,0.9611122370751436,0.9742106640338898,1.0,0.97024,0.99514
1,0.9999999142422968,0.9418344370589768,0.9512909066677093,1.0,0.88006,0.97883
2,0.999999366649965,0.9159398250343386,0.9276124254862468,1.0,0.86843,0.97573
3,0.9999970337566064,0.8364973312567088,0.8193385068575542,1.0,0.74878,0.95792
4,0.9999902581884748,0.7113467140631242,0.6796429904301962,0.99998,0.60258,0.93094
5,0.999965558145322,0.5782942038922271,0.5274908113479614,0.99996,0.54441,0.92011
6,0.9999379381841543,0.4977307430968797,0.4185468498865763,0.99981,0.65099,0.933
7,0.9998921407323306,0.4501682192826074,0.37472809155782066,0.99982,0.40975,0.88718
8,0.99983253902724,0.4190114232134228,0.3169227874279022,0.99986,0.41949,0.89027
9,0.999832611708414,0.40684114172438945,0.31241167505582174,0.99984,0.38273,0.88299
